"X","Unnamed..0","Name","Artist","Section","Progression","EndDifferent","NumSectionChords","nonDiatonicChords","extendedChords"
0,0,"Fearless","Taylor Swift","Intro","I-V-ii-IV","",4,0,0
1,1,"Fearless","Taylor Swift","Verse ","I-V-ii-IV","",4,0,0
2,2,"Fearless","Taylor Swift","Chorus","I-V-ii-IV-V","IV-V-I",4,0,0
3,3,"Fearless","Taylor Swift","Solo","ii-IV-I-V","",4,0,0
4,4,"Fearless","Taylor Swift","Bridge","VI#-I-ii-I-IV-V","IV",6,1,2
5,5,"Fearless","Taylor Swift","Outro","I-V-ii-I-IV","",5,0,1
0,0,"Our Song","Taylor Swift","Intro","I-ii-IV-V","",4,0,0
1,1,"Our Song","Taylor Swift","Verse","I-ii-IV-V","",4,0,0
2,2,"Our Song","Taylor Swift","Chorus","I-ii-IV-V","IV",4,0,0
3,3,"Our Song","Taylor Swift","Interlude","I-ii-IV-V","",4,0,0
4,4,"Our Song","Taylor Swift","Bridge","ii-IV-I-V","ii-IV",4,0,0
0,0,"Back to December","Taylor Swift","Intro","I-vi-IV","",4,0,1
1,1,"Back to December","Taylor Swift","Verse ","I-vi-IV-I-V","",4,0,0
2,2,"Back to December","Taylor Swift","Pre-Chorus","vi-V-I-IV-vi-V-IV","",4,0,0
3,3,"Back to December","Taylor Swift","Chorus","I-iii-IV-I-V-I","I-iii-IV",4,0,0
4,4,"Back to December","Taylor Swift","Post-Chorus","I-V-IV-vi-V","",4,0,0
5,5,"Back to December","Taylor Swift","Solo","I-vi-IV","",3,0,0
6,6,"Back to December","Taylor Swift","Bridge","vi-IV-I-V","V-IV",4,0,0
7,7,"Back to December","Taylor Swift","Interlude","I-iii-IV-I-V","",4,0,0
8,8,"Back to December","Taylor Swift","Outro","I-vi-IV","",4,0,1
0,0,"Say Something","Justin Timberlake","Intro","vi-I-V-II","",4,1,1
1,1,"Say Something","Justin Timberlake","Verse ","vi-I-V-II","vi-I",4,1,1
2,2,"Say Something","Justin Timberlake","Chorus","V-II-vi-I","V-II",4,2,0
3,3,"Say Something","Justin Timberlake","Post-Chorus","vi-I-V-II","",4,1,0
4,4,"Say Something","Justin Timberlake","Bridge ","vi-I-V-II","",4,1,0
5,5,"Say Something","Justin Timberlake","Chorus ","vi-I-V-II","",4,1,0
6,6,"Say Something","Justin Timberlake","Bridge","vi-I-V-II","V",4,1,1
0,0,"Young Dumb & Broke","Khalid","Intro","I#","",1,1,0
1,1,"Young Dumb & Broke","Khalid","Verse ","I#","V#",3,2,0
2,2,"Young Dumb & Broke","Khalid","Chorus","I#","V#",3,2,0
3,3,"Young Dumb & Broke","Khalid","Bridge","I#-vi#-V#","",3,3,0
0,0,"Ilomilo","Billie Eilish","Verse ","ii-vi","",2,0,0
1,1,"Ilomilo","Billie Eilish","Chorus","vi","",3,0,0
2,2,"Ilomilo","Billie Eilish","Bridge","vi-iii-ii-vi","",3,0,0
3,3,"Ilomilo","Billie Eilish","Outro","vi","",3,0,0
0,0,"Gorgeous","Taylor Swift","Intro","I","",1,0,0
1,1,"Gorgeous","Taylor Swift","Verse ","I-V-vi-IV-V","",6,0,2
